,actual,forecast,lower_95,upper_95
1643,104.26,64.85688424595338,32.12518261377851,97.58858587812824
1644,99.91,63.43724776618083,29.974896437420234,96.89959909494144
1645,95.27,62.83780386181043,28.714047133170943,96.96156059044992
1646,92.72,63.0049194956053,28.279697920149346,97.73014107106125
1647,95.42,65.69678938662841,30.422294785179794,100.97128398807703
1648,95.0,69.40160684160979,33.623516429432044,105.17969725378754
1649,110.0,76.21585926390037,39.97432902836575,112.45738949943498
1650,99.95,70.65903130791443,33.98950530381304,107.32855731201582
1651,80.12,64.76063613279092,27.694512698680633,101.82675956690122
1652,64.24,57.932363165175204,20.49754833549124,95.36717799485916
1653,59.43,54.87859898401097,17.099969852209085,92.65722811581286
1654,56.22,51.88413558746771,13.783930996384903,89.98434017855053
1655,51.75,47.85194057369392,9.450092590778091,86.25378855660975
1656,50.67,50.87001912875773,39.486139271106694,62.25389898640877
1657,48.6,48.88095084985245,32.62881926534726,65.13308243435763
1658,48.02,47.64624863635006,28.009548856659553,67.28294841604057
1659,49.25,46.9657490386383,24.706569996157377,69.22492808111923
1660,49.63,47.77408823248751,23.380587287763298,72.16758917721171
1661,47.77,50.377700697635184,24.196424037527954,76.5589773577424
1662,49.57,55.009530863236606,27.301612355240536,82.71744937123268
1663,53.82,63.92092037756955,34.89091061361242,92.95093014152668
1664,59.8,69.7665161721828,39.57904437375754,99.95398797060807
1665,66.92,69.54808216181841,38.33831727381744,100.75784704981939
1666,67.71,69.07765618584754,36.95828713763119,101.1970252340639
1667,68.0,69.40264635399652,36.4687616047151,102.33653110327793
1668,67.01,67.9852239930742,34.317849684828914,101.65259830131949
1669,62.53,67.40143060886857,33.07017256474963,101.73268865298749
1670,60.0,67.76338455018734,32.82844899525006,102.69832010512462
1671,60.0,70.62976276496386,35.14353286721797,106.11599266270974
1672,62.78,74.02664322278811,38.0349297246634,110.01835672091282
1673,69.92,81.42130257033624,44.96434995301627,117.87825518765621
1674,71.99,76.1529794945087,39.26628526027575,113.03967372874165
1675,68.95,69.44530979037853,32.160298527963604,106.73032105279346
1676,62.66,62.39575745980521,24.740340453994655,100.05117446561576
1677,53.85,59.47735814437474,21.476401649286444,97.47831463946304
1678,54.13,56.50519991120259,18.18091974005914,94.82948008234604
1679,44.93,52.651639345405805,14.023935447397449,91.27934324341416
1680,38.84,44.104545601343354,32.774471560745084,55.43461964194162
1681,35.97,42.38244723239393,26.20290355131543,58.56199091347243
1682,34.35,41.481674284368395,21.930157611419215,61.03319095731757
1683,33.87,41.21422369641587,19.049668437586025,63.37877895524572
1684,33.84,42.1900034830823,17.898676230862275,66.48133073530232
1685,34.21,44.59575922325205,18.522994011424927,70.66852443507918
1686,34.03,48.98895153499952,21.395082934404552,76.58282013559449
1687,37.61,57.202594975458254,28.291643938667175,86.11354601224933
1688,39.09,62.32264583533949,32.25889578508429,92.3863958855947
1689,40.76,62.56309562842753,31.48149834623083,93.64469291062423
1690,44.16,62.35120837031857,30.36432696094641,94.33808977969072
1691,46.24,63.027234961313894,30.230097316132664,95.82437260649513
1692,44.76,61.9516869340514,28.42530519534469,95.47806867275811
1693,44.34,61.4463003070525,27.260299246474503,95.6323013676305
1694,45.45,61.87314680501262,27.087774507478912,96.65851910254632
1695,48.03,64.65673725583925,29.324434214570033,99.98904029710846
1696,55.87,68.29319335642082,32.459837565786884,104.12654914705475
1697,62.09,75.32817469353806,39.034083697122114,111.622265689954
1698,63.41,70.91557375572005,34.196320882841825,107.63482662859826
1699,55.24,65.29561819872993,28.18270439429505,102.4085320031648
1700,48.05,58.843360103956144,21.36477191764358,96.32194829026871
1701,44.49,55.69601507304669,17.876691778912765,93.51533836718062
1702,40.07,52.999136225587634,14.861363611089267,91.136908840086
