valuetime,actual,forecast,lower_95,upper_95
2021-01-14 06:00:00,79.9,49.1784744579995,20.60898211588695,77.74796680011205
2021-01-14 07:00:00,88.82,54.03877240489658,24.314037814218626,83.76350699557453
2021-01-14 08:00:00,89.27,53.39883680853181,22.651706911064355,84.14596670599927
2021-01-14 09:00:00,89.63,52.97472692402931,21.316061926624386,84.63339192143424
2021-01-14 10:00:00,91.05,53.39333291047895,20.91677763681855,85.86988818413934
2021-01-14 11:00:00,88.75,52.06101251267852,18.846453965687694,85.27557105966935
2021-01-14 12:00:00,87.1,51.60475678610256,17.720904748442216,85.48860882376292
2021-01-14 13:00:00,83.98,52.05379813018111,17.5601582659152,86.54743799444702
2021-01-14 14:00:00,79.96,54.83993197244626,19.78834490271514,89.89151904217738
2021-01-14 15:00:00,83.42,58.54873977220526,22.984601888692197,94.11287765571832
2021-01-14 16:00:00,100.67,65.39535676211074,29.358602437588374,101.4321110866331
2021-01-14 17:00:00,90.16,60.68777454304936,24.213676024725217,97.1618730613735
2021-01-14 18:00:00,87.7,54.72359504658429,17.843420730305994,91.6037693628626
2021-01-14 19:00:00,74.58,48.27310378706548,11.014664900964007,85.53154267316695
2021-01-14 20:00:00,62.74,45.33982097883356,7.727929231827517,82.9517127258396
2021-01-14 21:00:00,59.82,42.46089335375512,4.5177467615785645,80.40403994593167
2021-01-14 22:00:00,55.6,38.55111232261882,0.29662253417623674,76.8056021110614
2021-01-14 23:00:00,48.98,54.34823783023087,43.24970145235295,65.44677420810879
2021-01-15 00:00:00,48.66,51.84424889015968,35.92705128600596,67.7614464943134
2021-01-15 01:00:00,47.7,50.276523184109735,30.99880518123083,69.55424118698863
2021-01-15 02:00:00,46.6,49.35257016944621,27.460694811066517,71.2444455278259
2021-01-15 03:00:00,48.0,49.79633748806316,25.768326329320423,73.8243486468059
2021-01-15 04:00:00,51.52,51.990773833414586,26.166435669355625,77.81511199747355
2021-01-15 05:00:00,62.97,56.020793905719685,28.656757760091676,83.38483005134769
2021-01-15 06:00:00,77.94,64.07392311221953,35.37177794236262,92.77606828207644
2021-01-15 07:00:00,94.07,68.78324879104454,38.905764104883474,98.66073347720561
2021-01-15 08:00:00,97.76,67.91899725508985,37.00028514543336,98.83770936474633
2021-01-15 09:00:00,90.69,67.27839374764251,35.43067798603688,99.12610950924814
2021-01-15 10:00:00,86.97,67.49290933562112,34.81125129838099,100.17456737286125
2021-01-15 11:00:00,79.25,65.93873730547733,32.50445992132127,99.3730146896334
2021-01-15 12:00:00,76.64,65.25030454335001,31.133548047824533,99.36706103887549
2021-01-15 13:00:00,77.14,65.43846918857179,30.700145995839534,100.17679238130404
2021-01-15 14:00:00,76.98,67.93495737492411,32.62827797194942,103.2416367778988
2021-01-15 15:00:00,82.0,71.45443184491258,35.62611630322307,107.28274738660208
2021-01-15 16:00:00,99.5,78.26815431761449,41.95940819479895,114.57690044043002
2021-01-15 17:00:00,98.02,73.35583271843466,36.60314295195219,110.10852248491713
2021-01-15 18:00:00,95.01,67.3342206546934,30.170011614178883,104.4984296952079
2021-01-15 19:00:00,77.2,60.652226241159525,23.10540555027729,98.19904693204177
2021-01-15 20:00:00,67.18,57.454605315480975,19.551021669046136,95.35818896191581
2021-01-15 21:00:00,63.19,54.44566493420448,16.20849486185419,92.68283500655477
2021-01-15 22:00:00,55.42,50.404306129859634,11.854382821342071,88.9542294383772
2021-01-15 23:00:00,53.09,54.113857734339774,43.017899369596925,65.20981609908263
2021-01-16 00:00:00,51.65,51.880412559667796,35.93839275340856,67.82243236592703
2021-01-16 01:00:00,49.88,50.59679734100767,31.28223731031936,69.91135737169598
2021-01-16 02:00:00,49.84,49.937136651255365,28.00247461365048,71.87179868886025
2021-01-16 03:00:00,49.51,50.58630866799501,26.512892842756294,74.65972449323374
2021-01-16 04:00:00,48.52,53.0201560802826,27.14985447572924,78.89045768483595
2021-01-16 05:00:00,48.74,57.4037714524102,29.994558349554442,84.81298455526596
2021-01-16 06:00:00,51.43,65.84619773904278,37.1005581907762,94.59183728730936
2021-01-16 07:00:00,60.0,71.17224024464116,41.25353778655847,101.09094270272385
2021-01-16 08:00:00,63.96,70.62396848590413,39.66669737664715,101.58123959516111
2021-01-16 09:00:00,61.79,70.08080793067842,38.19742150015956,101.96419436119729
2021-01-16 10:00:00,62.13,70.40702714157155,37.69270459970746,103.12134968343562
2021-01-16 11:00:00,55.01,68.89949466079956,35.43559427770395,102.36339504389517
2021-01-16 12:00:00,50.66,68.25746304690563,34.11409936336301,102.40082673044824
2021-01-16 13:00:00,49.48,68.49458707437648,33.73260182550241,103.25657232325057
2021-01-16 14:00:00,50.65,70.98773437605854,35.66023456014535,106.31523419197174
2021-01-16 15:00:00,57.7,74.58087306418695,38.73445177603754,110.42729435233636
2021-01-16 16:00:00,65.01,81.63406009800642,45.309779609728274,117.95834058628455
2021-01-16 17:00:00,66.4,76.94266158831914,40.17685478782604,113.70846838881224
2021-01-16 18:00:00,63.76,71.16946606792419,33.994396792669946,108.34453534317844
2021-01-16 19:00:00,57.47,64.32837948985998,26.77279164391566,101.8839673358043
2021-01-16 20:00:00,52.98,61.008259904654885,23.097837794971703,98.91868201433806
2021-01-16 21:00:00,53.2,58.00733341032452,19.765090414954486,96.24957640569455
2021-01-16 22:00:00,48.17,53.901157954023795,15.347766762678248,92.45454914536934
2021-01-16 23:00:00,46.49,47.2872258648211,36.243061854700024,58.33138987494218
2021-01-17 00:00:00,44.82,45.306922793479615,29.433543288422996,61.18030229853623
2021-01-17 01:00:00,44.99,44.25047109565937,25.01538457244824,63.4855576188705
2021-01-17 02:00:00,45.54,43.8260569757804,21.978584847209603,65.6735291043512
2021-01-17 03:00:00,45.8,44.651534317848714,20.671151414282225,68.63191722141521
2021-01-17 04:00:00,45.42,47.2138688823089,21.441249145055213,72.98648861956259
2021-01-17 05:00:00,45.7,51.71068708852331,24.40302952642759,79.01834465061903
2021-01-17 06:00:00,46.5,60.23909207690677,31.598383032207163,88.87980112160638
2021-01-17 07:00:00,47.4,65.85493384764187,36.044228464488555,95.6656392307952
2021-01-17 08:00:00,51.13,65.56037947345172,34.71399783929975,96.40676110760369
2021-01-17 09:00:00,54.75,65.13337269810422,33.36368987705694,96.90305551915151
2021-01-17 10:00:00,58.08,65.59428051549564,32.99646627120912,98.19209475978215
2021-01-17 11:00:00,54.58,64.10179242368464,30.757244778818972,97.44634006855031
2021-01-17 12:00:00,52.82,63.489465869457064,29.468373859038913,97.51055787987522
2021-01-17 13:00:00,49.95,63.78701032615711,29.15031414728834,98.42370650502588
2021-01-17 14:00:00,53.48,66.3345586159252,31.13547961310495,101.53363761874546
2021-01-17 15:00:00,60.6,70.07347920016343,34.358734616672,105.78822378365487
2021-01-17 16:00:00,67.05,77.21648497144021,41.02726645804941,113.40570348483101
2021-01-17 17:00:00,72.0,72.74225739954346,36.115029031515164,109.36948576757176
2021-01-17 18:00:00,67.78,67.13486298071456,30.10201905298529,104.16770690844382
2021-01-17 19:00:00,62.45,60.354673943285995,22.945086229427076,97.76426165714491
2021-01-17 20:00:00,55.56,57.053504752617336,19.292981508182827,94.81402799705185
2021-01-17 21:00:00,52.13,54.16456925009754,16.076242952914235,92.25289554728084
2021-01-17 22:00:00,46.9,50.08005508354456,11.684712057405122,88.475398109684
2021-01-17 23:00:00,43.85,46.000512550184126,35.004378159548565,56.99664694081969
2021-01-18 00:00:00,45.83,44.023266699808225,28.210100265483618,59.83643313413283
2021-01-18 01:00:00,45.59,42.983472576602246,23.81938429185498,62.14756086134951
2021-01-18 02:00:00,45.94,42.57052791508035,20.803626042377594,64.3374297877831
2021-01-18 03:00:00,44.83,43.38432247953549,19.493174865815583,67.2754700932554
2021-01-18 04:00:00,46.42,45.88906411793177,20.213639423244974,71.56448881261856
2021-01-18 05:00:00,55.19,50.302217591786956,23.09914357323699,77.50529161033693
2021-01-18 06:00:00,73.06,58.679045217059624,30.14983034880943,87.20826008530982
2021-01-18 07:00:00,78.92,64.18315326419815,34.49044291688319,93.87586361151313
2021-01-18 08:00:00,75.65,63.952023108364806,33.22977923691214,94.67426697981747
2021-01-18 09:00:00,71.67,63.59459665231095,31.954876675566947,95.23431662905494
2021-01-18 10:00:00,62.46,64.10419852620281,31.64188721215502,96.5665098402506
2021-01-18 11:00:00,58.2,62.57416227425161,29.370399616237584,95.77792493226565
2021-01-18 12:00:00,55.91,61.94362975889011,28.06836949205546,95.81889002572476
2021-01-18 13:00:00,57.57,62.18678668642867,27.700753199493946,96.67282017336339
2021-01-18 14:00:00,57.39,64.75672526530748,29.712941055297875,99.80050947531709
2021-01-18 15:00:00,54.54,68.55854810197032,33.003546507036106,104.11354969690453
2021-01-18 16:00:00,59.94,75.68766013948127,39.66246220710807,111.71285807185447
2021-01-18 17:00:00,55.08,71.3772522604344,34.91816340818835,107.83634111268046
2021-01-18 18:00:00,51.42,65.78416831099126,28.92343498277514,102.64490163920738
2021-01-18 19:00:00,46.97,59.03526336890354,21.801619323786277,96.26890741402082
2021-01-18 20:00:00,45.63,55.674742323120036,18.093866801638725,93.25561784460135
2021-01-18 21:00:00,42.95,52.77695415100405,14.87185888485309,90.68204941715501
2021-01-18 22:00:00,37.83,48.67624082718604,10.467599018625151,86.88488263574693
2021-01-18 23:00:00,36.68,37.27448377395657,26.322059570027037,48.2269079778861
2021-01-19 00:00:00,35.94,35.75981722855158,19.993961274365418,51.52567318273775
2021-01-19 01:00:00,34.74,35.095856807853636,15.985257719272994,54.20645589643428
2021-01-19 02:00:00,35.96,35.034127904922705,13.327274589572717,56.740981220272694
2021-01-19 03:00:00,36.7,36.13904810994734,12.314479057925201,59.96361716196948
2021-01-19 04:00:00,37.95,38.9299953913396,13.327519907216413,64.53247087546279
2021-01-19 05:00:00,41.59,43.700259717252536,16.57629378299529,70.82422565150978
2021-01-19 06:00:00,46.68,52.503788639891425,24.05960566456254,80.94797161522031
2021-01-19 07:00:00,55.15,58.22788949295243,28.625889947280776,87.82988903862409
2021-01-19 08:00:00,54.5,58.16026420292818,27.534162531363734,88.78636587449263
2021-01-19 09:00:00,52.73,57.95076840552482,26.412376219835178,89.48916059121446
2021-01-19 10:00:00,54.5,58.48787208633205,26.13183281138972,90.84391136127437
2021-01-19 11:00:00,52.21,57.104859505124196,24.01207809025852,90.19764091998988
2021-01-19 12:00:00,52.11,56.63367862308543,22.873881292555588,90.39347595361528
2021-01-19 13:00:00,52.37,57.08213664237627,22.715828624761492,91.44844465999105
2021-01-19 14:00:00,51.34,59.77121601923866,24.851209518126375,94.69122252035095
2021-01-19 15:00:00,51.89,63.60569009839279,28.178317316122936,99.03306288066264
2021-01-19 16:00:00,54.7,70.84444947260522,34.950539598633064,106.73835934657737
2021-01-19 17:00:00,52.75,66.63683905620921,30.31251491740774,102.96116319501068
2021-01-19 18:00:00,45.39,61.183522105442194,24.46085671205131,97.90618749883308
2021-01-19 19:00:00,41.41,54.59949380182736,17.507056450166047,91.69193115348867
2021-01-19 20:00:00,39.75,51.39754959094777,13.960863786907716,88.83423539498781
2021-01-19 21:00:00,36.66,48.60880863865833,10.850738823243496,86.36687845407317
2021-01-19 22:00:00,31.23,44.59525030592758,6.536330521566924,82.65417009028823
2021-01-19 23:00:00,30.33,30.793461226976156,19.901035507650278,41.685886946302034
2021-01-20 00:00:00,28.4,29.44717877660073,13.76742418808906,45.1269333651124
2021-01-20 01:00:00,26.62,28.920763826590992,9.912390296021911,47.92913735716007
2021-01-20 02:00:00,25.13,29.02078187250401,7.427249976097684,50.614313768910336
2021-01-20 03:00:00,28.76,30.244953530300833,6.541630409146322,53.948276651455345
2021-01-20 04:00:00,30.92,33.12775581436979,7.652246310760091,58.60326531797949
2021-01-20 05:00:00,35.56,37.992891094379196,10.99999524547033,64.98578694328806
2021-01-20 06:00:00,40.23,46.84113724893799,18.53090503132031,75.15136946655568
2021-01-20 07:00:00,41.25,52.72949315555117,23.2633793320446,82.19560697905774
2021-01-20 08:00:00,38.9,52.75098778069388,22.261965724543796,83.24000983684397
2021-01-20 09:00:00,38.01,52.60307507494294,21.202370537502137,84.00377961238375
2021-01-20 10:00:00,37.95,53.244342441685085,21.026133236715665,85.4625516466545
2021-01-20 11:00:00,37.92,51.92013827923193,18.96495839863077,84.87531815983309
2021-01-20 12:00:00,36.84,51.5238236328962,17.901103749256606,85.1465435165358
2021-01-20 13:00:00,36.8,52.03227435198557,17.80228476377271,86.26226394019844
2021-01-20 14:00:00,37.99,54.71367546388666,19.929042516837903,89.49830841093541
2021-01-20 15:00:00,39.33,58.54666781835723,23.253577783421107,93.83975785329335
2021-01-20 16:00:00,45.51,65.76147800166768,30.00064674059749,101.52230926273788
2021-01-20 17:00:00,40.41,61.65507076131138,25.46253446102071,97.84760706160205
2021-01-20 18:00:00,39.34,56.22527240368592,19.63303930766171,92.81750549971014
2021-01-20 19:00:00,35.69,49.73087903997716,12.767471609229595,86.69428647072473
2021-01-20 20:00:00,31.97,46.59403107399601,9.284940667406623,83.90312148058538
2021-01-20 21:00:00,29.49,43.83906534314807,6.207136263791931,81.47099442250422
2021-01-20 22:00:00,25.3,39.83365923811613,1.8994151787148965,77.76790329751736
2021-01-20 23:00:00,24.85,24.960148357284627,14.137694549596432,35.78260216497282
2021-01-21 00:00:00,19.32,23.63685555560094,8.046207753414965,39.227503357786915
2021-01-21 01:00:00,8.94,23.08631760951779,4.1814842497986255,41.991150969236955
2021-01-21 02:00:00,0.9,23.137413905669927,1.6585558178464659,44.616271993493385
2021-01-21 03:00:00,0.02,24.459954133044757,0.8799602620099449,48.03994800407957
2021-01-21 04:00:00,13.69,27.37245600191487,2.0269468908592287,52.71796511297051
2021-01-21 05:00:00,27.47,32.214226958472224,5.3563477052329524,59.0721062117115
2021-01-21 06:00:00,35.32,40.93633421009928,12.76471814103223,69.10795027916633
2021-01-21 07:00:00,37.23,46.46441862556287,17.139287035867067,75.78955021525867
2021-01-21 08:00:00,35.29,46.35081957660733,16.00405963721292,76.69757951600174
2021-01-21 09:00:00,33.01,46.174570238027115,14.916443842958412,77.43269663309582
2021-01-21 10:00:00,33.38,46.81188989197356,14.735715109784188,78.88806467416293
2021-01-21 11:00:00,33.69,45.55781213285927,12.743353368634196,78.37227089708435
2021-01-21 12:00:00,35.34,45.23943880913044,11.755436218409187,78.7234413998517
2021-01-21 13:00:00,36.22,45.83860235707731,11.744705702230085,79.93249901192453
2021-01-21 14:00:00,36.61,48.615517521340074,13.963794955515972,83.26724008716417
2021-01-21 15:00:00,37.93,52.489182533258806,17.325317933459644,87.65304713305797
2021-01-21 16:00:00,39.52,59.73389966451288,24.09815660339612,95.36964272562965
2021-01-21 17:00:00,37.22,55.46242165450735,19.390429124927415,91.5344141840873
